,Landmark_1,Landmark_2,Landmark_3,Class
0,8.94427190999916,8.06225774829855,35.11409973215888,Drowsy
2,8.06225774829855,8.06225774829855,35.11409973215888,Drowsy
4,8.06225774829855,8.602325267042627,36.05551275463989,Drowsy
6,8.06225774829855,8.06225774829855,35.4682957019364,Drowsy
8,8.602325267042627,7.211102550927978,34.17601498127012,Drowsy
10,7.211102550927978,7.810249675906654,34.17601498127012,Drowsy
12,6.4031242374328485,6.4031242374328485,33.83784863137726,Drowsy
14,8.602325267042627,9.433981132056603,33.83784863137726,Drowsy
16,8.602325267042627,8.94427190999916,31.95309061734092,Drowsy
18,8.94427190999916,8.94427190999916,32.89376840679705,Drowsy
20,9.848857801796104,9.486832980505138,32.57299494980466,Drowsy
22,9.486832980505138,10.44030650891055,31.622776601683796,Alert
24,8.54400374531753,9.486832980505138,31.32091952673165,Drowsy
26,7.211102550927978,6.708203932499369,33.52610922848042,Drowsy
28,6.708203932499369,6.708203932499369,32.01562118716424,Drowsy
30,7.280109889280518,6.708203932499369,33.734255586866,Drowsy
32,6.324555320336759,6.324555320336759,26.68332812825267,Drowsy
34,7.280109889280518,7.615773105863909,29.42787793912432,Drowsy
36,9.219544457292889,9.486832980505138,29.42787793912432,Drowsy
38,8.54400374531753,7.280109889280518,29.61418578992169,Drowsy
40,7.280109889280518,8.54400374531753,29.8328677803526,Drowsy
42,8.54400374531753,7.615773105863909,30.80584360149873,Drowsy
44,7.615773105863909,7.280109889280518,30.59411708155671,Drowsy
46,7.615773105863909,8.54400374531753,29.120439557122072,Drowsy
48,8.54400374531753,8.54400374531753,29.8328677803526,Drowsy
50,8.54400374531753,8.54400374531753,30.083217912982647,Drowsy
52,8.06225774829855,7.615773105863909,31.32091952673165,Drowsy
54,8.94427190999916,8.54400374531753,31.622776601683796,Drowsy
56,7.615773105863909,8.06225774829855,28.46049894151541,Drowsy
58,8.54400374531753,8.54400374531753,29.73213749463701,Drowsy
60,7.615773105863909,8.94427190999916,29.410882339705484,Drowsy
62,9.848857801796104,9.848857801796104,30.675723300355934,Alert
64,8.94427190999916,8.94427190999916,29.73213749463701,Drowsy
66,8.0,7.0,28.0,Drowsy
68,8.0,8.0,27.0,Drowsy
70,7.071067811865476,6.0,27.0,Drowsy
72,7.615773105863909,7.615773105863909,31.622776601683796,Drowsy
74,8.06225774829855,8.54400374531753,32.89376840679705,Drowsy
76,8.94427190999916,8.06225774829855,33.24154027718932,Drowsy
78,8.06225774829855,8.94427190999916,31.016124838541646,Drowsy
80,8.06225774829855,8.06225774829855,32.31098884280702,Drowsy
82,8.06225774829855,8.94427190999916,31.38470965295043,Drowsy
84,8.602325267042627,9.433981132056603,31.78049716414141,Drowsy
86,8.94427190999916,9.433981132056603,32.69556544854363,Drowsy
88,8.94427190999916,8.94427190999916,32.69556544854363,Drowsy
90,8.94427190999916,8.94427190999916,32.202484376209235,Drowsy
92,9.433981132056603,9.433981132056603,31.78049716414141,Drowsy
94,8.94427190999916,9.433981132056603,32.69556544854363,Drowsy
96,8.94427190999916,8.94427190999916,31.38470965295043,Drowsy
98,8.94427190999916,9.848857801796104,33.24154027718932,Drowsy
100,9.486832980505138,8.94427190999916,31.95309061734092,Drowsy
102,7.211102550927978,7.211102550927978,31.95309061734092,Drowsy
104,5.0990195135927845,4.123105625617661,32.01562118716424,Drowsy
106,6.082762530298219,4.123105625617661,32.0624390837628,Drowsy
108,7.071067811865476,5.0990195135927845,34.132096331752024,Drowsy
110,6.082762530298219,5.0,32.01562118716424,Drowsy
112,6.0,6.082762530298219,32.0,Drowsy
114,6.082762530298219,6.0,32.0,Drowsy
116,6.0,6.0,31.0,Drowsy
118,6.0,5.0,32.0,Drowsy
120,6.0,5.0,31.016124838541646,Drowsy
122,6.0,5.0,32.01562118716424,Drowsy
